Country,x1,x2,x3,x4
MDA,-68.18710734570534,-0.633791535959658,-10.419166529856536,-8.170238416334582
GNQ,-29.74766564527805,-3.0994169238268436,2.59332734411439,-25.672891998154057
TMP,6.104944885072763,-6.920392428002042,-8.0972698435823,9.276492847842002
TUN,-32.804566415009546,-12.525921281311886,-12.116386615824588,24.05693649258552
YEM,-45.01588787406554,-11.855139876896603,-6.408240750859796,3.0071961204840494
BDI,-28.699416323406894,-26.940118450465175,58.30437936830469,-39.43529594900534
CUW,4.347395132590356,-0.32130820031182633,-8.53945453734897,2.054294490327858
CRI,-54.773072876228966,-8.743260706433688,-2.9830581436944166,20.872016241747716
WSM,-39.63159619794347,-2.2736217005752426,5.548722567499262,8.642286701232932
NPL,-41.829423870042895,-12.003538690190334,8.279374698841139,-35.73443691206514
EAP,287.1867825838177,-3.1442874073228184,-6.863721659596812,-6.661781129580997
ERI,16.577992786333052,1.6470608859886071,-1.2225547198639002,-29.54428955024477
QAT,0.5033305586202982,3.3241797934176747,-3.4982610581393265,8.777418052464768
LDC,17.99214145694092,-17.316726854418608,41.66946934005714,-27.068483180673763
UZB,-55.562294668690136,7.380830839996074,2.957480579705052,7.1001381580783285
CPV,-44.46824323096733,-16.44581475997676,-16.357112180627098,-4.150195574748522
MEA,9.176478514500584,6.172212786360221,13.342540853397416,20.850302883100003
GRC,-23.00166107531937,-13.778207419172873,-16.502751407425862,14.205099301356753
BEL,-4.678585465482055,4.2844260381423025,-41.717649507487835,23.198558451427974
WBG,-8.742343230422419,-1.9713683206220423,4.7768553212443745,19.93648982899479
ECS,5.110538725209935,74.28366848575936,-13.145384999535493,-11.339772356487439
ARB,16.99754708665478,-2.117961870057167,22.646844365778932,7.466732769689624
AGO,-44.854646514171264,-25.669629949902053,5.131028515103428,11.389376062342212
OSS,-5.890253280380875,-10.230606946196387,18.47113607278166,-6.678439664697938
SLB,-43.459880846385516,-8.73593537191158,13.562955024761447,-0.2930816238245043
STP,-59.40273401660676,0.005605067922589848,0.852053363756247,8.03111599937843
BTN,-39.37564394134158,-1.7348921004755025,35.92626612164118,17.097070119641515
COM,-46.83857079921267,-11.377596744787589,9.08682827513979,15.58528629982118
BEN,-51.02676609172993,-29.34936646983704,52.111213827666305,-10.682531403694098
PNG,-42.182700526492326,-2.3615690634362734,39.835639370318674,-2.755860003686297
UGA,-25.09572167514467,-13.899025082041572,10.936560814959885,-14.555825247850812
LSO,-32.35820777160053,16.48079463023913,-12.308689766295593,-26.891333248999455
MNG,-37.0332770033788,16.031525323459476,-2.779651247255306,10.3211263534973
KSV,-12.838534418155932,-1.4683851939575494,4.326637183372134,0.17351901667925707
COG,-44.29350946114235,5.874725739969135,-6.757625950062816,4.9003242995730245
TGO,-64.47535541086673,-42.437846922442,-5.502510776700299,-17.015445994961507
CHE,-18.53755902009358,3.8846512577131986,-5.18808367837087,-42.113973265682645
MNP,22.890193720561985,3.8780802670276198,6.613631351382453,0.15928628085833849
LBR,-57.405771607310335,13.00074341366328,-5.647385191462778,11.379960526680303
PHL,-9.239885615217043,-15.527714094033811,-4.268861888253511,-4.067473615854547
MNE,-66.81928531242663,-3.2029712669686736,2.3034224803471988,0.3946344117268097
KOR,4.556978039856089,122.81486636941064,40.34186145458586,47.57991858089664
PRI,-8.474551835840039,-7.74191418938411,7.20025410249927,22.08097407121931
FRO,-24.98684346338692,14.275558023633474,-12.86281891420996,1.478013962362397
DZA,-24.39310500369837,-9.391326039280516,18.150376058783923,24.347121718288744
SYR,-52.32825990652877,-6.54892371906243,1.2054090101063617,11.793521805068853
CUB,17.353761048362227,-35.671627574953696,-36.68591003248548,16.502741996691714
MMR,-49.47012316112392,11.962094790193458,2.9988459187659475,3.5828971534285636
SVN,-6.097775227282579,-4.30718912953016,-15.971168320864452,8.019082568671267
PRY,-49.01588230842036,1.6940721229372555,-6.397835552661947,-15.694973311088646
SDN,-41.20896025887398,-27.363176737268574,17.024992395996293,17.290678921768812
FRA,-19.429747494642914,16.080884606438733,-34.04384231893821,11.382547698384409
BFA,-48.029437870843665,-35.48561653111268,63.94633156601556,-27.35057369657566
CMR,-38.65206145914044,-26.366380429323343,-4.791430343590156,-6.562888124222817
GUM,-1.7138366912147638,-7.992059539329611,-1.0432803302923352,7.949505794711149
TJK,-67.50460188393929,-27.42536916036496,2.197735604133716,-8.512971396252366
ISR,-15.682665230489988,3.0399370155812147,-15.346965231754915,10.673031634365993
FIN,19.66749076287132,-3.391352110152353,-44.820414195971324,-1.8590520489727067
COL,-36.79306863158247,12.369967618475364,-12.956587062942283,7.08324189446884
MNA,76.00346122055002,-5.910811473657367,13.37160813205919,16.82629886704673
SSA,155.36678060332878,-32.672918954473225,37.44147181685435,-18.91375735403215
PRT,-2.4578742090499213,-9.359629981558712,-19.678126189952565,8.165208130554802
TCD,-42.608805678028034,-53.119770138798316,24.88310105536271,-10.643258055335833
NAC,-31.625971187849665,57.09371527518402,-16.769215589455346,-17.700208831352505
ARG,7.50845268777208,-7.3094484872011005,-12.174199157336622,7.486003751490233
WLD,143.64698536883816,223.51569337096208,5.086098091283321,-76.11612808635554
PRK,2.48085754045214,-13.780776994836616,-11.080683339513982,-13.499437042306742
EAS,0.5280648710498851,70.84580278327044,-5.463729827944693,-22.039390722872838
NIC,-21.662677791236433,-25.712629307034916,5.7531224763930355,4.47040340546751
GRL,-13.898519368465992,-12.285328593800951,-13.062315840125274,-5.359631506844109
LMC,369.80288485757393,-19.881796540971628,13.708573891203706,6.96334132998076
KWT,-3.1916619659312535,5.7685186561137956,12.257025968540477,16.540441931032802
MHL,-8.841971689455502,6.658780463318958,4.581560192850373,5.229013724948414
TUV,-8.914641120055338,1.897514241526044,5.666885701457038,12.352049058131334
NZL,10.682207561045026,-4.5645302984635165,-17.880715554066256,-6.568866673881371
ATG,-11.683398183892606,-4.7766693639757785,4.964903257837249,0.900829945098377
RUS,13.78577711861739,4.671780140699254,-9.145451442460704,2.9885407808670483
